reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AL|XP_043803804.1	AL	XP_043803804.1	LOC122720840	OG0009204	XM_043947869.1	57	1464	XP_043803804.1 U4/U6 small nuclear ribonucleoprotein Prp31 [Apis laboriosa]
AL|XP_043803805.1	AL	XP_043803805.1	LOC122720842	OG0006141	XM_043947870.1	2126	1977	XP_043803805.1 uncharacterized protein LOC122720842 [Apis laboriosa]
AL|XP_043803806.1	AL	XP_043803806.1	LOC122720843	OG0000575	XM_043947871.1	88	1764	XP_043803806.1 venom carboxylesterase-6 [Apis laboriosa]
AL|XP_043803807.1	AL	XP_043803807.1	LOC122720844	OG0008311	XM_043947872.1	57	4830	XP_043803807.1 WASH complex subunit 2 [Apis laboriosa]
AL|XP_043803808.1	AL	XP_043803808.1	LOC122720845	OG0008240	XM_043947873.1	218	3303	XP_043803808.1 integrin alpha-PS1 isoform X1 [Apis laboriosa]
AL|XP_043803810.1	AL	XP_043803810.1	LOC122720846	OG0004252	XM_043947875.1	256	4029	XP_043803810.1 zinc finger CCCH domain-containing protein 13-like [Apis laboriosa]
AL|XP_043803811.1	AL	XP_043803811.1	LOC122720847	OG0004228	XM_043947876.1	42	1536	XP_043803811.1 SET domain-containing protein SmydA-8-like isoform X1 [Apis laboriosa]
AL|XP_043803814.1	AL	XP_043803814.1	LOC122720849	OG0008111	XM_043947879.1	0	798	XP_043803814.1 ATP synthase mitochondrial F1 complex assembly factor 2 [Apis laboriosa]
AL|XP_043803815.1	AL	XP_043803815.1	LOC122720850	OG0001665	XM_043947880.1	142	1143	XP_043803815.1 putative cystathionine gamma-lyase 2 [Apis laboriosa]
AL|XP_043803816.1	AL	XP_043803816.1	LOC122720848	OG0002127	XM_043947881.1	147	1185	XP_043803816.1 heparan sulfate glucosamine 3-O-sulfotransferase 1 [Apis laboriosa]
AL|XP_043803817.1	AL	XP_043803817.1	LOC122720851	OG0004267	XM_043947882.1	140	1791	XP_043803817.1 lamin Dm0-like isoform X1 [Apis laboriosa]
AL|XP_043803819.1	AL	XP_043803819.1	LOC122720852	OG0005756	XM_043947884.1	0	3531	XP_043803819.1 ras-associated and pleckstrin homology domains-containing protein 1-like isoform X1 [Apis laboriosa]
AL|XP_043803823.1	AL	XP_043803823.1	LOC122720853	OG0005757	XM_043947888.1	330	723	XP_043803823.1 uncharacterized protein LOC122720853 [Apis laboriosa]
AL|XP_043803824.1	AL	XP_043803824.1	LOC122720854	OG0004260	XM_043947889.1	205	1011	XP_043803824.1 prostaglandin reductase 1-like [Apis laboriosa]
AL|XP_043803825.1	AL	XP_043803825.1	LOC122720855	OG0004077	XM_043947890.1	7	1833	XP_043803825.1 uncharacterized protein LOC122720855 [Apis laboriosa]
AL|XP_043803827.1	AL	XP_043803827.1	LOC122720857	OG0000595	XM_043947892.1	332	1851	XP_043803827.1 sodium-coupled monocarboxylate transporter 1-like [Apis laboriosa]
AL|XP_043803828.1	AL	XP_043803828.1	LOC122720858	OG0001284	XM_043947893.1	59	1440	XP_043803828.1 transcriptional adapter 2-alpha [Apis laboriosa]
AL|XP_043803829.1	AL	XP_043803829.1	LOC122720856	OG0004935	XM_043947894.1	0	1434	XP_043803829.1 TWiK family of potassium channels protein 18-like [Apis laboriosa]
AL|XP_043803831.1	AL	XP_043803831.1	LOC122720859	OG0000432	XM_043947896.1	133	312	XP_043803831.1 DNA-directed RNA polymerase II subunit Rpb4 [Apis laboriosa]
AL|XP_043803832.1	AL	XP_043803832.1	LOC122720860	OG0008690	XM_043947897.1	139	2826	XP_043803832.1 protein unc-45 homolog B [Apis laboriosa]
AL|XP_043803835.1	AL	XP_043803835.1	LOC122720861	OG0002007	XM_043947900.1	100	3393	XP_043803835.1 Golgi apparatus protein 1 isoform X1 [Apis laboriosa]
AL|XP_043803837.1	AL	XP_043803837.1	LOC122720862	OG0008611	XM_043947902.1	193	2139	XP_043803837.1 protein suppressor of forked [Apis laboriosa]
AL|XP_043803838.1	AL	XP_043803838.1	LOC122720865	OG0008345	XM_043947903.1	629	1980	XP_043803838.1 MOXD1 homolog 2 [Apis laboriosa]
AL|XP_043803839.1	AL	XP_043803839.1	LOC122720866	OG0008041	XM_043947904.1	209	879	XP_043803839.1 carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 [Apis laboriosa]
AL|XP_043803840.1	AL	XP_043803840.1	LOC122720867	OG0004270	XM_043947905.1	279	3615	XP_043803840.1 RNA polymerase II-associated protein 1 [Apis laboriosa]
AL|XP_043803841.1	AL	XP_043803841.1	LOC122720868	OG0007456	XM_043947906.1	156	2619	XP_043803841.1 tetratricopeptide repeat protein 7B isoform X1 [Apis laboriosa]
AL|XP_043803846.1	AL	XP_043803846.1	LOC122720869	OG0001535	XM_043947911.1	84	5610	XP_043803846.1 cadherin-23 isoform X1 [Apis laboriosa]
AL|XP_043803850.1	AL	XP_043803850.1	LOC122720871	OG0001960	XM_043947915.1	400	2211	XP_043803850.1 vitamin K-dependent gamma-carboxylase [Apis laboriosa]
AL|XP_043803851.1	AL	XP_043803851.1	LOC122720872	OG0005793	XM_043947916.1	260	2211	XP_043803851.1 leucine-rich repeat transmembrane protein FLRT1-like isoform X1 [Apis laboriosa]
AL|XP_043803853.1	AL	XP_043803853.1	LOC122720873	OG0005794	XM_043947918.1	377	1698	XP_043803853.1 organic cation transporter protein [Apis laboriosa]
AL|XP_043803854.1	AL	XP_043803854.1	LOC122720870	OG0004942	XM_043947919.1	651	2745	XP_043803854.1 uncharacterized protein LOC122720870 isoform X1 [Apis laboriosa]
AL|XP_043803855.1	AL	XP_043803855.1	LOC122720874	OG0008629	XM_043947920.1	82	696	XP_043803855.1 basic helix-loop-helix neural transcription factor TAP [Apis laboriosa]
AL|XP_043803856.1	AL	XP_043803856.1	LOC122720875	OG0000808	XM_043947921.1	129	459	XP_043803856.1 troponin C, isoallergen Bla g 6.0201-like [Apis laboriosa]
AL|XP_043803857.1	AL	XP_043803857.1	LOC122720876	OG0000809	XM_043947922.1	185	459	XP_043803857.1 troponin C, isoallergen Bla g 6.0201-like isoform X1 [Apis laboriosa]
AL|XP_043803859.1	AL	XP_043803859.1	LOC122720877	OG0002014	XM_043947924.1	67	2220	XP_043803859.1 glycine--tRNA ligase [Apis laboriosa]
AL|XP_043803860.1	AL	XP_043803860.1	LOC122720878	OG0004074	XM_043947925.1	0	1095	XP_043803860.1 uncharacterized protein LOC122720878 [Apis laboriosa]
AL|XP_043803861.1	AL	XP_043803861.1	LOC122720879	OG0008494	XM_043947926.1	147	2385	XP_043803861.1 calcium homeostasis endoplasmic reticulum protein isoform X1 [Apis laboriosa]
AL|XP_043803865.1	AL	XP_043803865.1	LOC122720880	OG0007900	XM_043947930.1	146	855	XP_043803865.1 eukaryotic translation initiation factor 3 subunit G [Apis laboriosa]
AL|XP_043803866.1	AL	XP_043803866.1	LOC122720881	OG0007909	XM_043947931.1	204	822	XP_043803866.1 eukaryotic translation initiation factor 4H isoform X1 [Apis laboriosa]
AL|XP_043803868.1	AL	XP_043803868.1	LOC122720882	OG0000991	XM_043947933.1	77	5259	XP_043803868.1 collagen alpha-1(I) chain-like [Apis laboriosa]
AL|XP_043803869.1	AL	XP_043803869.1	LOC122720883	OG0006313	XM_043947934.1	84	3768	XP_043803869.1 myb-binding protein 1A [Apis laboriosa]
AL|XP_043803871.1	AL	XP_043803871.1	LOC122720884	OG0001263	XM_043947936.1	126	891	XP_043803871.1 ATP synthase subunit gamma, mitochondrial [Apis laboriosa]
AL|XP_043803872.1	AL	XP_043803872.1	LOC122720885	OG0001904	XM_043947937.1	177	1230	XP_043803872.1 E3 ubiquitin-protein ligase FANCL isoform X1 [Apis laboriosa]
AL|XP_043803875.1	AL	XP_043803875.1	LOC122720886	OG0004266	XM_043947940.1	91	882	XP_043803875.1 NADH-cytochrome b5 reductase-like [Apis laboriosa]
AL|XP_043803876.1	AL	XP_043803876.1	LOC122720887	OG0004275	XM_043947941.1	277	3453	XP_043803876.1 putative uncharacterized protein DDB_G0282133 isoform X1 [Apis laboriosa]
AL|XP_043803878.1	AL	XP_043803878.1	LOC122720888	OG0001245	XM_043947943.1	111	2643	XP_043803878.1 AP-1 complex subunit gamma-1 isoform X1 [Apis laboriosa]
AL|XP_043803885.1	AL	XP_043803885.1	LOC122720889	OG0004539	XM_043947950.1	99	2343	XP_043803885.1 dynein regulatory complex protein 1 [Apis laboriosa]
AL|XP_043803897.1	AL	XP_043803897.1	LOC122720891	OG0006550	XM_043947962.1	336	972	XP_043803897.1 post-GPI attachment to proteins factor 3 [Apis laboriosa]
AL|XP_043803898.1	AL	XP_043803898.1	LOC122720892	OG0001348	XM_043947963.1	133	615	XP_043803898.1 ADP-ribosylation factor-related protein 1 [Apis laboriosa]
AL|XP_043803899.1	AL	XP_043803899.1	LOC122720893	OG0008398	XM_043947964.1	149	1566	XP_043803899.1 serine/threonine-protein kinase pelle [Apis laboriosa]
AL|XP_043803900.1	AL	XP_043803900.1	LOC122720890	OG0005172	XM_043947965.1	208	5052	XP_043803900.1 uncharacterized protein LOC122720890 [Apis laboriosa]
AL|XP_043803901.1	AL	XP_043803901.1	LOC122720894	OG0005196	XM_043947966.1	223	1194	XP_043803901.1 transcriptional repressor protein YY1-like isoform X1 [Apis laboriosa]
AL|XP_043803903.1	AL	XP_043803903.1	LOC122720895	OG0007466	XM_043947968.1	110	723	XP_043803903.1 splicing factor U2af 38 kDa subunit [Apis laboriosa]
AL|XP_043803904.1	AL	XP_043803904.1	LOC122720896	OG0008382	XM_043947969.1	211	303	XP_043803904.1 gamma-secretase subunit pen-2 [Apis laboriosa]
AL|XP_043803905.1	AL	XP_043803905.1	LOC122720897	OG0009132	XM_043947970.1	656	1437	XP_043803905.1 blood vessel epicardial substance-A-like [Apis laboriosa]
AL|XP_043803906.1	AL	XP_043803906.1	LOC122720898	OG0001215	XM_043947971.1	209	693	XP_043803906.1 AMMECR1-like protein [Apis laboriosa]
AL|XP_043803907.1	AL	XP_043803907.1	LOC122720899	OG0002716	XM_043947972.1	143	2367	XP_043803907.1 probable ATP-dependent RNA helicase DDX10 [Apis laboriosa]
AL|XP_043803908.1	AL	XP_043803908.1	LOC122720901	OG0002161	XM_043947973.1	91	1152	XP_043803908.1 isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial [Apis laboriosa]
AL|XP_043803909.1	AL	XP_043803909.1	LOC122720902	OG0002718	XM_043947974.1	61	555	XP_043803909.1 chromobox protein homolog 1-like [Apis laboriosa]
AL|XP_043803911.1	AL	XP_043803911.1	LOC122720900	OG0005169	XM_043947976.1	119	618	XP_043803911.1 E3 SUMO-protein ligase NSE2-like [Apis laboriosa]
AL|XP_043803912.1	AL	XP_043803912.1	LOC122720903	OG0004233	XM_043947977.1	473	816	XP_043803912.1 ras-related C3 botulinum toxin substrate 1-like [Apis laboriosa]
AL|XP_043803913.1	AL	XP_043803913.1	LOC122720904	OG0000957	XM_043947978.1	94	3051	XP_043803913.1 ATP-dependent DNA helicase Q5-like isoform X1 [Apis laboriosa]
AL|XP_043803915.1	AL	XP_043803915.1	LOC122720906	OG0006381	XM_043947980.1	83	1929	XP_043803915.1 nicastrin isoform X1 [Apis laboriosa]
AL|XP_043803918.1	AL	XP_043803918.1	LOC122720907	OG0006197	XM_043947983.1	275	1608	XP_043803918.1 glucose-6-phosphate exchanger SLC37A2 isoform X1 [Apis laboriosa]
AL|XP_043803921.1	AL	XP_043803921.1	LOC122720909	OG0001160	XM_043947986.1	163	1077	XP_043803921.1 septin-1 [Apis laboriosa]
AL|XP_043803922.1	AL	XP_043803922.1	LOC122720908	OG0008519	XM_043947987.1	451	2703	XP_043803922.1 dynamin isoform X1 [Apis laboriosa]
AL|XP_043803923.1	AL	XP_043803923.1	LOC122720910	OG0004231	XM_043947988.1	202	1539	XP_043803923.1 SET domain-containing protein SmydA-8-like [Apis laboriosa]
AL|XP_043803924.1	AL	XP_043803924.1	LOC122720911	OG0009340	XM_043947989.1	67	690	XP_043803924.1 AMME syndrome candidate gene 1 protein homolog [Apis laboriosa]
AL|XP_043803925.1	AL	XP_043803925.1	LOC122720912	OG0004071	XM_043947990.1	127	1446	XP_043803925.1 RNA-binding protein 45 isoform X1 [Apis laboriosa]
AL|XP_043803928.1	AL	XP_043803928.1	LOC122720913	OG0004253	XM_043947993.1	291	2502	XP_043803928.1 protein lin-54 homolog isoform X1 [Apis laboriosa]
AL|XP_043803932.1	AL	XP_043803932.1	LOC122720914	OG0004265	XM_043947997.1	210	1392	XP_043803932.1 uncharacterized transporter BU466-like isoform X1 [Apis laboriosa]
AL|XP_043803937.1	AL	XP_043803937.1	LOC122720915	OG0000624	XM_043948002.1	1502	1731	XP_043803937.1 alkaline phosphatase-like isoform X1 [Apis laboriosa]
AL|XP_043803943.1	AL	XP_043803943.1	LOC122720916	OG0008965	XM_043948008.1	57	918	XP_043803943.1 caspase-1-like [Apis laboriosa]
AL|XP_043803944.1	AL	XP_043803944.1	LOC122720917	OG0002714	XM_043948009.1	30	1158	XP_043803944.1 cell division cycle 7-related protein kinase-like [Apis laboriosa]
AL|XP_043803945.1	AL	XP_043803945.1	LOC122720918	OG0002715	XM_043948010.1	79	573	XP_043803945.1 mitochondrial import inner membrane translocase subunit Tim22 [Apis laboriosa]
AL|XP_043803949.1	AL	XP_043803949.1	LOC122720919	OG0005904	XM_043948014.1	159	2805	XP_043803949.1 uncharacterized protein LOC122720919 [Apis laboriosa]
AL|XP_043803951.1	AL	XP_043803951.1	LOC122720920	OG0008366	XM_043948016.1	241	1821	XP_043803951.1 tudor and KH domain-containing protein homolog [Apis laboriosa]
AL|XP_043803952.1	AL	XP_043803952.1	LOC122720921	OG0004264	XM_043948017.1	317	1143	XP_043803952.1 protein roadkill-like isoform X1 [Apis laboriosa]
AL|XP_043803955.1	AL	XP_043803955.1	LOC122720922	OG0006934	XM_043948020.1	1	345	XP_043803955.1 60S ribosomal protein L36 [Apis laboriosa]
AL|XP_043803956.1	AL	XP_043803956.1	LOC122720923	OG0001628	XM_043948021.1	137	2397	XP_043803956.1 conserved oligomeric Golgi complex subunit 3 [Apis laboriosa]
AL|XP_043803957.1	AL	XP_043803957.1	LOC122720924	OG0000915	XM_043948022.1	576	5277	XP_043803957.1 mucin-22-like [Apis laboriosa]
AL|XP_043803959.1	AL	XP_043803959.1	LOC122720925	OG0006784	XM_043948024.1	1047	513	XP_043803959.1 YY1-associated factor 2 [Apis laboriosa]
AL|XP_043803960.1	AL	XP_043803960.1	LOC122720926	OG0005900	XM_043948025.1	375	3258	XP_043803960.1 uncharacterized protein LOC122720926 isoform X1 [Apis laboriosa]
AL|XP_043803968.1	AL	XP_043803968.1	LOC122720928	OG0009025	XM_043948033.1	748	312	XP_043803968.1 uncharacterized protein LOC122720928 [Apis laboriosa]
AL|XP_043803972.1	AL	XP_043803972.1	LOC122720929	OG0006422	XM_043948037.1	202	2616	XP_043803972.1 CCAAT/enhancer-binding protein zeta [Apis laboriosa]
AL|XP_043803973.1	AL	XP_043803973.1	LOC122720930	OG0004276	XM_043948038.1	46	1506	XP_043803973.1 leucine-rich repeat neuronal protein 3-like [Apis laboriosa]
AL|XP_043803975.1	AL	XP_043803975.1	LOC122720931	OG0007740	XM_043948040.1	3483	843	XP_043803975.1 brain-specific homeobox protein homolog [Apis laboriosa]
AL|XP_043803977.1	AL	XP_043803977.1	LOC122720932	OG0001522	XM_043948042.1	194	1032	XP_043803977.1 COP9 signalosome complex subunit 5 [Apis laboriosa]
AL|XP_043803981.1	AL	XP_043803981.1	LOC122720933	OG0004245	XM_043948046.1	731	1482	XP_043803981.1 leucine-rich repeat-containing protein 15 isoform X1 [Apis laboriosa]
AL|XP_043803989.1	AL	XP_043803989.1	LOC122720934	OG0005754	XM_043948054.1	0	549	XP_043803989.1 uncharacterized protein LOC122720934 [Apis laboriosa]
AL|XP_043803990.1	AL	XP_043803990.1	LOC122720935	OG0002169	XM_043948055.1	257	1878	XP_043803990.1 insulin-like growth factor 2 mRNA-binding protein 1 [Apis laboriosa]
AL|XP_043803991.1	AL	XP_043803991.1	LOC122720936	OG0004230	XM_043948056.1	81	954	XP_043803991.1 glyoxylate reductase/hydroxypyruvate reductase-like isoform X1 [Apis laboriosa]
AL|XP_043803993.1	AL	XP_043803993.1	LOC122720937	OG0004079	XM_043948058.1	60	1128	XP_043803993.1 methionine aminopeptidase 1 [Apis laboriosa]
AL|XP_043803994.1	AL	XP_043803994.1	LOC122720938	OG0005792	XM_043948059.1	523	1020	XP_043803994.1 leucine-rich repeat-containing protein 15-like [Apis laboriosa]
AL|XP_043803996.1	AL	XP_043803996.1	LOC122720939	OG0009964	XM_043948061.1	0	318	XP_043803996.1 UPF0691 protein C9orf116 [Apis laboriosa]
AL|XP_043803997.1	AL	XP_043803997.1	LOC122720940	OG0008673	XM_043948062.1	264	15174	XP_043803997.1 transmembrane protein KIAA1109 isoform X1 [Apis laboriosa]
AL|XP_043804008.1	AL	XP_043804008.1	LOC122720942	OG0004072	XM_043948073.1	236	1671	XP_043804008.1 uncharacterized protein LOC122720942 [Apis laboriosa]
AL|XP_043804009.1	AL	XP_043804009.1	LOC122720941	OG0005176	XM_043948074.1	281	1398	XP_043804009.1 uncharacterized protein LOC122720941 [Apis laboriosa]
AL|XP_043804011.1	AL	XP_043804011.1	LOC122720943	OG0004080	XM_043948076.1	576	1362	XP_043804011.1 RYamide receptor-like [Apis laboriosa]
AL|XP_043804012.1	AL	XP_043804012.1	LOC122720944	OG0004083	XM_043948077.1	78	741	XP_043804012.1 prisilkin-39-like [Apis laboriosa]
AL|XP_043804013.1	AL	XP_043804013.1	LOC122720945	OG0004081	XM_043948078.1	86	477	XP_043804013.1 PEST proteolytic signal-containing nuclear protein-like [Apis laboriosa]
AL|XP_043804014.1	AL	XP_043804014.1	LOC122720927	OG0008957	XM_043948079.1	0	732	XP_043804014.1 uncharacterized protein LOC122720927 [Apis laboriosa]
AL|XP_043804015.1	AL	XP_043804015.1	LOC122720946	OG0006958	XM_043948080.1	15	342	XP_043804015.1 40S ribosomal protein S26 [Apis laboriosa]
AL|XP_043804016.1	AL	XP_043804016.1	LOC122720947	OG0007690	XM_043948081.1	214	327	XP_043804016.1 protein aveugle [Apis laboriosa]
AL|XP_043804017.1	AL	XP_043804017.1	LOC122720948		XM_043948082.1	110	6864	XP_043804017.1 agrin-like isoform X1 [Apis laboriosa]
AL|XP_043804022.1	AL	XP_043804022.1	LOC122720950	OG0004238	XM_043948087.1	145	1659	XP_043804022.1 SET domain-containing protein SmydA-8-like isoform X1 [Apis laboriosa]
AL|XP_043804023.1	AL	XP_043804023.1	LOC122720949	OG0008526	XM_043948088.1	370	7056	XP_043804023.1 protein sickie isoform X1 [Apis laboriosa]
AL|XP_043804025.1	AL	XP_043804025.1	LOC122720951	OG0005789	XM_043948090.1	0	1803	XP_043804025.1 uncharacterized protein LOC122720951 [Apis laboriosa]
AL|XP_043804026.1	AL	XP_043804026.1	LOC122720952	OG0007024	XM_043948091.1	454	783	XP_043804026.1 DCN1-like protein 5 [Apis laboriosa]
AL|XP_043804028.1	AL	XP_043804028.1	LOC122720953	OG0007187	XM_043948093.1	702	4029	XP_043804028.1 protein son of sevenless isoform X1 [Apis laboriosa]
AL|XP_043804031.1	AL	XP_043804031.1	LOC122720954	OG0006983	XM_043948096.1	1	1155	XP_043804031.1 26S proteasome non-ATPase regulatory subunit 13 [Apis laboriosa]
AL|XP_043804033.1	AL	XP_043804033.1	LOC122720955	OG0007209	XM_043948098.1	0	789	XP_043804033.1 sepiapterin reductase [Apis laboriosa]
AL|XP_043804034.1	AL	XP_043804034.1	LOC122720956	OG0009473	XM_043948099.1	130	417	XP_043804034.1 uncharacterized protein LOC122720956 [Apis laboriosa]
AL|XP_043804035.1	AL	XP_043804035.1	LOC122720957	OG0004086	XM_043948100.1	0	3351	XP_043804035.1 myb-like protein Q [Apis laboriosa]
AL|XP_043804036.1	AL	XP_043804036.1	LOC122720958	OG0007027	XM_043948101.1	1432	3060	XP_043804036.1 calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type isoform X1 [Apis laboriosa]
AL|XP_043804043.1	AL	XP_043804043.1	LOC122720959	OG0004244	XM_043948108.1	158	1605	XP_043804043.1 pre-piRNA 3'-exonuclease trimmer-like [Apis laboriosa]
AL|XP_043804048.1	AL	XP_043804048.1	LOC122720961	OG0000486	XM_043948113.1	112	1593	XP_043804048.1 fatty acyl-CoA reductase wat-like [Apis laboriosa]
AL|XP_043804049.1	AL	XP_043804049.1	LOC122720962	OG0001666	XM_043948114.1	90	2013	XP_043804049.1 choline transporter-like 1 [Apis laboriosa]
AL|XP_043804050.1	AL	XP_043804050.1	LOC122720963	OG0002071	XM_043948115.1	233	1284	XP_043804050.1 E3 ubiquitin-protein ligase Hakai [Apis laboriosa]
AL|XP_043804053.1	AL	XP_043804053.1	LOC122720964	OG0004234	XM_043948118.1	73	1089	XP_043804053.1 transmembrane protein 115 isoform X1 [Apis laboriosa]
AL|XP_043804055.1	AL	XP_043804055.1	LOC122720965	OG0004274	XM_043948120.1	412	825	XP_043804055.1 F-box/LRR-repeat protein 3-like [Apis laboriosa]
AL|XP_043804059.1	AL	XP_043804059.1	LOC122720967	OG0004263	XM_043948124.1	360	1455	XP_043804059.1 homeobox protein PKNOX2-like isoform X2 [Apis laboriosa]
AL|XP_043804060.1	AL	XP_043804060.1	LOC122720966	OG0004938	XM_043948125.1	229	1389	XP_043804060.1 glycosaminoglycan xylosylkinase [Apis laboriosa]
AL|XP_043804061.1	AL	XP_043804061.1	LOC122720968	OG0007837	XM_043948126.1	233	2442	XP_043804061.1 ankyrin repeat domain-containing protein 6 [Apis laboriosa]
AL|XP_043804062.1	AL	XP_043804062.1	LOC122720969	OG0004268	XM_043948127.1	154	1791	XP_043804062.1 CDK5RAP1-like protein [Apis laboriosa]
AL|XP_043804063.1	AL	XP_043804063.1	LOC122720970	OG0004246	XM_043948128.1	186	504	XP_043804063.1 actin-binding Rho-activating protein-like [Apis laboriosa]
AL|XP_043804064.1	AL	XP_043804064.1	LOC122720971	OG0004239	XM_043948129.1	90	606	XP_043804064.1 PITH domain-containing protein GA19395 [Apis laboriosa]
AL|XP_043804067.1	AL	XP_043804067.1	LOC122720972	OG0002018	XM_043948132.1	40	966	XP_043804067.1 probable GDP-L-fucose synthase [Apis laboriosa]
AL|XP_043804068.1	AL	XP_043804068.1	LOC122720974	OG0006731	XM_043948133.1	65	696	XP_043804068.1 proteasome subunit beta type-6 [Apis laboriosa]
AL|XP_043804069.1	AL	XP_043804069.1	LOC122720975	OG0005758	XM_043948134.1	308	1074	XP_043804069.1 popeye domain-containing protein 3-like [Apis laboriosa]
AL|XP_043804070.1	AL	XP_043804070.1	LOC122720976	OG0004243	XM_043948135.1	824	1956	XP_043804070.1 laccase-4-like isoform X1 [Apis laboriosa]
AL|XP_043804072.1	AL	XP_043804072.1	LOC122720973	OG0009070	XM_043948137.1	0	684	XP_043804072.1 uncharacterized protein LOC122720973 [Apis laboriosa]
AL|XP_043804074.1	AL	XP_043804074.1	LOC122720977	OG0000373	XM_043948139.1	255	1095	XP_043804074.1 solute carrier family 35 member E2A-like [Apis laboriosa]
AL|XP_043804075.1	AL	XP_043804075.1	LOC122720978	OG0005897	XM_043948140.1	245	807	XP_043804075.1 N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 [Apis laboriosa]
AL|XP_043804076.1	AL	XP_043804076.1	LOC122720979	OG0008836	XM_043948141.1	108	717	XP_043804076.1 gamma-interferon-inducible lysosomal thiol reductase-like isoform X1 [Apis laboriosa]
AL|XP_043804078.1	AL	XP_043804078.1	LOC122720980	OG0004229	XM_043948143.1	0	1458	XP_043804078.1 prenylcysteine oxidase 1-like [Apis laboriosa]
AL|XP_043804079.1	AL	XP_043804079.1	LOC122720981	OG0006674	XM_043948144.1	0	1176	XP_043804079.1 phosphatidylserine decarboxylase proenzyme, mitochondrial, partial [Apis laboriosa]
AL|XP_043804080.1	AL	XP_043804080.1	LOC122720983	OG0004236	XM_043948145.1	80	1032	XP_043804080.1 ribosome biogenesis protein BRX1 homolog [Apis laboriosa]
AL|XP_043804081.1	AL	XP_043804081.1	LOC122720984	OG0005898	XM_043948146.1	161	1041	XP_043804081.1 ubiquitin-like protein 7 isoform X1 [Apis laboriosa]
AL|XP_043804083.1	AL	XP_043804083.1	LOC122720982	OG0007385	XM_043948148.1	569	2388	XP_043804083.1 serine/threonine-protein kinase tousled-like 2 isoform X1 [Apis laboriosa]
AL|XP_043804084.1	AL	XP_043804084.1	LOC122720986	OG0004255	XM_043948149.1	91	1365	XP_043804084.1 zinc finger CCHC domain-containing protein 9-like [Apis laboriosa]
AL|XP_043804087.1	AL	XP_043804087.1	LOC122720987	OG0000371	XM_043948152.1	372	5754	XP_043804087.1 nucleolar pre-ribosomal-associated protein 1-like [Apis laboriosa]
AL|XP_043804088.1	AL	XP_043804088.1	LOC122720988	OG0001910	XM_043948153.1	207	2049	XP_043804088.1 F-box/LRR-repeat protein 4 isoform X1 [Apis laboriosa]
AL|XP_043804090.1	AL	XP_043804090.1	LOC122720989	OG0004235	XM_043948155.1	156	972	XP_043804090.1 erlin-1-like [Apis laboriosa]
AL|XP_043804091.1	AL	XP_043804091.1	LOC122720990	OG0003101	XM_043948156.1	0	1425	XP_043804091.1 chloride channel CLIC-like protein 1 [Apis laboriosa]
AL|XP_043804093.1	AL	XP_043804093.1	LOC122720991	OG0008055	XM_043948158.1	218	576	XP_043804093.1 protein jagunal [Apis laboriosa]
AL|XP_043804094.1	AL	XP_043804094.1	LOC122720992	OG0008479	XM_043948159.1	37	1149	XP_043804094.1 mitochondrial ribonuclease P protein 1 homolog [Apis laboriosa]
AL|XP_043804095.1	AL	XP_043804095.1	LOC122720993	OG0008837	XM_043948160.1	43	1041	XP_043804095.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Apis laboriosa]
AL|XP_043804096.1	AL	XP_043804096.1	LOC122720995	OG0004237	XM_043948161.1	98	864	XP_043804096.1 transmembrane protein 59-like [Apis laboriosa]
AL|XP_043804097.1	AL	XP_043804097.1	LOC122720996	OG0004261	XM_043948162.1	99	1233	XP_043804097.1 KICSTOR complex protein kaptin-like, partial [Apis laboriosa]
AL|XP_043804098.1	AL	XP_043804098.1	LOC122720997	OG0007695	XM_043948163.1	66	270	XP_043804098.1 barrier-to-autointegration factor B [Apis laboriosa]
AL|XP_043804100.1	AL	XP_043804100.1	LOC122720998	OG0006648	XM_043948165.1	185	1446	XP_043804100.1 6-phosphogluconate dehydrogenase, decarboxylating isoform X1 [Apis laboriosa]
AL|XP_043804102.1	AL	XP_043804102.1	LOC122720999	OG0001355	XM_043948167.1	374	537	XP_043804102.1 ADP-ribosylation factor-like protein 5B [Apis laboriosa]
AL|XP_043804103.1	AL	XP_043804103.1	LOC122721000	OG0003104	XM_043948168.1	177	771	XP_043804103.1 upstream stimulatory factor 1-like isoform X1 [Apis laboriosa]
AL|XP_043804105.1	AL	XP_043804105.1	LOC122721001	OG0006119	XM_043948170.1	142	372	XP_043804105.1 ragulator complex protein LAMTOR3-A [Apis laboriosa]
AL|XP_043804106.1	AL	XP_043804106.1	LOC122721003	OG0007739	XM_043948171.1	2	1872	XP_043804106.1 leucine-rich PPR motif-containing protein, mitochondrial [Apis laboriosa]
AL|XP_043804108.1	AL	XP_043804108.1	LOC122721004	OG0001741	XM_043948173.1	0	1623	XP_043804108.1 uncharacterized protein LOC122721004 [Apis laboriosa]
AL|XP_043804109.1	AL	XP_043804109.1	LOC122721005	OG0003102	XM_043948174.1	151	612	XP_043804109.1 uncharacterized protein LOC122721005 isoform X1 [Apis laboriosa]
