Orthogroup	Apis_cerana	Apis_dorsata	Apis_florea	Apis_laboriosa	Apis_mellifera	Bombus_terrestris
OG0004224	XP_061934384.1	XP_031364298.1	XP_003694191.1	XP_043796641.1	XP_016769109.1	XP_003403094.1
OG0004225	XP_061934390.1	XP_006607552.1	XP_003694243.1	XP_043796995.1	XP_001121670.2	XP_003403093.1
OG0004226	XP_061936783.1	XP_031371200.1	XP_003695690.1	XP_043785016.1	XP_016769797.1	XP_012168087.1
OG0004227	XP_016913884.1	XP_006624423.1	XP_003692275.2	XP_043799464.1	XP_392954.1	XP_003402308.1
OG0004228	XP_061938997.1	XP_006612043.1	XP_031773336.2	XP_043803811.1	XP_006565333.1	XP_012170260.2
OG0004229	XP_061938831.1	XP_006615718.2	XP_012348516.2	XP_043804078.1	XP_396066.5	XP_020721556.2
OG0004230	XP_016913897.3	XP_006615706.1	XP_003695252.1	XP_043803991.1	XP_393528.3	XP_012170485.2
OG0004231	XP_061938952.1	XP_006615710.1	XP_003695189.1	XP_043803923.1	XP_026300142.1	XP_048266727.1
OG0004232	XP_016913900.1	XP_006615646.1	XP_003695222.1	XP_043804199.1	XP_006565263.1	XP_003399884.1
OG0004233	XP_016913909.1	XP_006615622.1	XP_003698197.1	XP_043803912.1	XP_395770.1	XP_003399897.1
OG0004234	XP_016913918.1	XP_006615600.1	XP_003698244.1	XP_043804053.1	XP_392569.2	XP_020721559.1
OG0004235	XP_016913920.1	XP_006615708.1	XP_003695194.1	XP_043804090.1	XP_623822.2	XP_003399846.1
OG0004236	XP_016913921.2	XP_006615595.1	XP_003698245.1	XP_043804080.1	XP_001119973.4	XP_003399509.2
OG0004237	XP_016913923.1	XP_006622645.1	XP_003693193.2	XP_043804096.1	XP_001120601.2	XP_003399504.1
OG0004238	XP_016913924.1	XP_006615709.1	XP_003695192.1	XP_043804022.1	XP_006565301.2	XP_048266726.1
OG0004239	XP_016913928.1	XP_006612046.1	XP_031773377.1	XP_043804064.1	XP_001123319.2	XP_048266708.1
OG0004240	XP_016913931.1	XP_031366325.1	XP_012344084.2	XP_043804204.1	XP_006565269.1	XP_003399870.1
OG0004241	XP_061938720.1	XP_006615722.2	XP_012344158.2	XP_043804203.1	XP_006565268.1	XP_003399869.2
OG0004242	XP_016913939.1	XP_031364549.1	XP_086763704.1	XP_043804133.1	XP_016771026.2	XP_012170647.3
OG0004243	XP_016913956.1	XP_006615690.1	XP_012344069.1	XP_043804070.1	XP_026300242.1	XP_003399857.1
OG0004244	XP_016913958.1	XP_006615691.1	XP_086763785.1	XP_043804043.1	XP_016770929.1	XP_048266913.1
OG0004245	XP_016913962.1	XP_006615688.1	XP_086763777.1	XP_043803981.1	XP_006565285.1	XP_003399855.2
OG0004246	XP_016913989.1	XP_006615682.1	XP_012344082.1	XP_043804063.1	XP_393850.2	XP_003399859.1
OG0004247	XP_061938903.1	XP_031366290.1	XP_012344055.1	XP_043804284.1	XP_026300172.1	XP_012170506.1
OG0004248	XP_016913996.2	XP_031366285.1	XP_003695212.1	XP_043804198.1	XP_016770941.1	XP_020721698.1
OG0004249	XP_028523059.1	XP_006615658.2	XP_003695216.2	XP_043804176.1	XP_016770931.1	XP_048266856.1
OG0004250	XP_016914002.1	XP_006615659.1	XP_003695221.1	XP_043804201.1	XP_003250601.1	XP_012170524.1
OG0004251	XP_016914005.1	XP_006615716.1	XP_003695191.2	XP_043804223.1	XP_006565305.2	XP_048266714.1
OG0004252	XP_016914009.2	XP_006612044.1	XP_012344136.2	XP_043803810.1	XP_006565331.1	XP_012170259.1
OG0004253	XP_016914013.2	XP_006615693.1	XP_086763772.1	XP_043803928.1	XP_026300247.1	XP_012170491.1
OG0004254	XP_016914016.1	XP_006615711.1	XP_012344080.1	XP_043804206.1	XP_623725.1	XP_012170489.1
OG0004255	XP_016914017.2	XP_006615696.1	XP_086763773.1	XP_043804084.1	XP_006565292.1	XP_003399853.1
OG0004256	XP_016914030.2	XP_031366280.1	XP_003695220.1	XP_043804196.1	NP_001229455.1	XP_020721715.2
OG0004257	XP_061938834.1	XP_006615605.1	XP_086763899.1	XP_043803783.1	XP_026300004.1	XP_012169959.1
OG0004258	XP_016914043.1	XP_006615609.1	XP_031775527.1	XP_043803788.1	XP_006565224.1	XP_003399517.1
OG0004259	XP_016914047.1	XP_006622142.1	XP_003696341.1	XP_043793316.1	XP_625225.1	XP_003395794.1
OG0004260	XP_016914044.1	XP_006615604.1	XP_003698241.2	XP_043803824.1	XP_394852.2	XP_020721705.1
OG0004261	XP_061938963.1	XP_006612078.1	XP_086763754.1	XP_043804097.1	XP_006565314.3	XP_012170455.1
OG0004262	XP_061939014.1	XP_006612077.1	XP_012344159.1	XP_043803780.1	XP_006565317.1	XP_003399834.1
OG0004263	XP_016914060.1	XP_006615645.1	XP_086763813.1	XP_043804059.1	XP_006565258.1	XP_020721686.1
OG0004264	XP_016914064.1	XP_006615699.1	XP_086763760.1	XP_043803952.1	XP_006565302.1	XP_048266728.1
OG0004265	XP_016914070.1	XP_031366293.1	XP_003698253.1	XP_043803932.1	XP_026300048.1	XP_020721653.2
OG0004266	XP_061938846.1	XP_006615626.2	XP_031775508.2	XP_043803875.1	XP_026300052.1	XP_012170561.1
OG0004267	XP_061938830.1	XP_006622638.1	XP_086763861.1	XP_043803817.1	XP_016771061.1	XP_012169946.1
OG0004268	XP_016914087.1	XP_006612030.1	XP_003695241.3	XP_043804062.1	XP_393868.4	XP_003399711.1
OG0004269	XP_016914088.1	XP_031366305.1	XP_012344169.2	XP_043804216.1	XP_016770995.1	XP_012170509.2
OG0004270	XP_016914099.1	XP_006615612.1	XP_003698209.3	XP_043803840.1	XP_006565233.2	XP_012170555.1
OG0004271	XP_016914100.1	XP_006615628.1	XP_012348459.3	XP_043804264.1	XP_006565236.1	XP_012170554.1
OG0004272	XP_016914106.1	XP_031369396.1	XP_086760291.1	XP_043792303.1	XP_026296675.1	XP_012164079.1
OG0004273	XP_016914104.1	XP_031364546.1	XP_003695179.2	XP_043804278.1	XP_394981.4	XP_003399824.1
OG0004274	XP_016914107.1	XP_006615648.1	XP_003695258.2	XP_043804055.1	XP_006565259.1	XP_012170538.1
OG0004275	XP_016914124.2	XP_031369604.1	XP_086763859.1	XP_043803876.1	XP_003250613.3	XP_003399501.2
OG0004276	XP_016914126.1	XP_006615642.1	XP_012344176.2	XP_043803973.1	XP_001120669.2	XP_003399888.1
OG0004277	XP_016914127.1	XP_006615610.1	XP_003698227.1	XP_043804111.1	XP_006565232.1	XP_012170557.1
OG0004278	XP_016914132.2	XP_031368536.1	XP_086773867.1	XP_043790736.1	XP_016772309.1	XP_020722549.2
OG0004279	XP_061941735.1	XP_031368534.1	XP_012345101.2	XP_043790739.1	XP_006561108.1	XP_020722551.1
OG0004280	XP_016914135.1	XP_031368535.1	XP_012344848.1	XP_043790737.1	XP_006561107.1	XP_020722550.2
OG0004281	XP_061935962.1	XP_031367683.1	XP_086763256.1	XP_043789297.1	XP_026298737.1	XP_003397627.1
OG0004282	XP_028522968.1	XP_006611874.1	XP_012346097.1	XP_043793200.1	XP_006570272.2	XP_012164125.2
OG0004283	XP_016914144.1	XP_006609920.1	XP_086762524.1	XP_043798919.1	XP_026294790.1	XP_003393808.1
OG0004284	XP_061929949.1	XP_006614702.1	XP_012343328.1	XP_043802081.1	XP_006562706.1	XP_012163147.1
OG0004285	XP_061929477.1	XP_006614724.1	XP_003694580.1	XP_043802204.1	XP_625261.1	XP_020718357.1
OG0004286	XP_016914153.3	XP_031365817.1	XP_086760194.1	XP_043802013.1	XP_026295812.1	XP_048261583.1
OG0004287	XP_016914157.1	XP_006614747.1	XP_003694590.2	XP_043802409.1	XP_016767326.1	XP_003395039.2
OG0004288	XP_016914159.2	XP_006614734.1	XP_086760189.1	XP_043802440.1	XP_001121634.3	XP_003394761.2
OG0004289	XP_061929472.1	XP_031365827.1	XP_086760212.1	XP_043802015.1	XP_026295811.1	XP_020718450.1
OG0004290	XP_016914162.2	XP_006614722.1	XP_012343412.2	XP_043802164.1	XP_003250150.2	XP_003395246.1
OG0004291	XP_016914163.1	XP_031365814.1	XP_031773012.1	XP_043802442.1	XP_003250155.1	XP_012163092.2
OG0004292	XP_016914167.1	XP_006614742.1	XP_012343334.2	XP_043802403.1	XP_026296032.1	XP_012163427.1
OG0004293	XP_016914179.1	XP_006624951.1	XP_003696433.4	XP_043792115.1	XP_395096.4	XP_003399771.2
OG0004294	XP_016914178.1	XP_031365805.1	XP_086760176.1	XP_043802429.1	XP_016767298.1	XP_048261214.1
OG0004295	XP_016914183.1	XP_006614750.1	XP_012343211.2	XP_043802434.1	XP_001120250.2	XP_003394758.1
OG0004296	XP_016914197.2	XP_006614727.2	XP_086760201.1	XP_043801717.1	XP_003250145.2	XP_012163404.2
OG0004297	XP_016914198.1	XP_031365787.1	XP_003694673.2	XP_043801720.1	XP_026296143.1	XP_012163405.1
OG0004298	XP_016914202.1	XP_006614699.1	XP_003694576.1	XP_043802082.1	XP_006562703.1	XP_003395028.1
OG0004299	XP_016914204.2	XP_031365790.1	XP_012343404.1	XP_043802083.1	XP_016767246.1	XP_048261577.1
OG0004300	XP_016914215.1	XP_006614741.1	XP_012343373.2	XP_043802457.1	XP_003250590.3	XP_012163076.2
OG0004301	XP_061929957.1	XP_006614733.2	XP_012343395.1	XP_043802147.1	XP_006562676.2	XP_012163402.2
OG0004302	XP_028523131.1	XP_006614730.1	XP_086760195.1	XP_043802149.1	XP_026296144.1	XP_012163401.1
OG0004303	XP_016914221.1	XP_006614695.1	XP_003694727.1	XP_043801994.1	XP_397526.2	XP_003394838.1
OG0004304	XP_016914222.2	XP_031365815.1	XP_086760192.1	XP_043802439.1	XP_016767515.2	XP_048261229.1
OG0004305	XP_016914226.1	XP_006614717.1	XP_003694669.1	XP_043802071.1	XP_001121126.2	XP_003395022.1
OG0004306	XP_016914229.1	XP_006614748.1	XP_031773047.2	XP_043802165.1	XP_006565202.1	XP_003395040.2
OG0004307	XP_016914232.1	XP_006611855.1	XP_012341356.2	XP_043801831.1	XP_006567213.1	XP_012174024.1
OG0004308	XP_016914240.1	XP_031364294.1	XP_012343064.1	XP_043797643.1	XP_016768580.2	XP_020723318.2
OG0004309	XP_061929513.1	XP_031368845.1	XP_086759576.1	XP_043797479.1	XP_016767363.2	XP_048260727.1
OG0004310	XP_061931529.1	XP_006622157.1	XP_012345628.3	XP_043792873.1	XP_026296831.1	XP_003395374.1
OG0004311	XP_061932752.1	XP_006620933.1	XP_012340258.1	XP_043800407.1	XP_026296971.1	XP_012163098.1
OG0004312	XP_061932766.1	XP_006620940.1	XP_086767131.1	XP_043800264.1	XP_026296911.1	XP_012163110.1
OG0004313	XP_061932770.1	XP_031368879.1	XP_012340136.1	XP_043800263.1	XP_026297196.1	XP_020718554.1
OG0004314	XP_061932774.1	XP_006620955.1	XP_003692428.1	XP_043800276.1	XP_624199.2	XP_003394797.1
OG0004315	XP_061931500.1	XP_006621171.1	XP_003696619.2	XP_043792579.1	XP_395892.2	XP_003395629.1
OG0004316	XP_061932777.1	XP_006624432.1	XP_012340209.2	XP_043799852.1	XP_003251662.1	XP_012163134.3
OG0004317	XP_016914269.1	XP_006621172.1	XP_012345650.1	XP_043792924.1	XP_006570296.1	XP_012164103.3
OG0004318	XP_016914268.1	XP_031366880.1	XP_003692459.2	XP_043800072.1	XP_392873.4	XP_003397652.1
OG0004319	XP_016914273.1	XP_006620968.2	XP_003692432.3	XP_043800274.1	XP_026297185.1	XP_003394795.1
OG0004320	XP_086628158.1	XP_031368979.1	XP_003696643.3	XP_043792890.1	XP_026296390.1	XP_048262218.1
OG0004321	XP_061932845.1	XP_006616905.1	XP_003692455.1	XP_043800426.1	XP_001123015.2	XP_003397658.1
OG0004322	XP_016914279.1	XP_006620910.1	XP_012340313.1	XP_043800164.1	XP_003251679.1	XP_012167223.1
OG0004323	XP_016914284.1	XP_006616893.1	XP_003692510.1	XP_043800169.1	XP_001121751.2	XP_048264365.1
OG0004324	XP_016914291.1	XP_031366869.1	XP_086767210.1	XP_043800294.1	XP_006571049.1	XP_048264558.1
OG0004325	XP_016914297.1	XP_006624475.1	XP_003692447.1	XP_043799882.1	XP_624205.2	XP_003397670.1
OG0004326	XP_061932814.1	XP_006616894.1	XP_086767193.1	XP_043800209.1	XP_026297003.1	XP_012167232.2
OG0004327	XP_016914310.1	XP_031369385.1	XP_003696339.3	XP_043793464.1	XP_006570312.1	XP_003395786.2
OG0004328	XP_016914311.2	XP_006620942.2	XP_012340284.2	XP_043800273.1	XP_026296912.1	XP_003394789.1
OG0004329	XP_016914354.2	XP_006610122.1	XP_086762184.1	XP_043789812.1	XP_001120801.1	XP_003397806.1
OG0004330	XP_016914319.1	XP_031370397.1	XP_031771487.2	XP_043800045.1	XP_016768085.1	XP_020718496.2
OG0004331	XP_016914324.1	XP_006620932.2	XP_003692413.4	XP_043800095.1	XP_026297114.1	XP_003397467.2
OG0004332	XP_016914325.1	XP_031368858.1	XP_012340261.2	XP_043800412.1	XP_016768304.1	XP_003394819.1
OG0004333	XP_016914329.1	XP_006616903.1	XP_003692453.1	XP_043800228.1	XP_001123019.2	XP_003397656.1
OG0004334	XP_016914333.1	XP_006616904.1	XP_003692509.4	XP_043800226.1	XP_016768168.2	XP_003397655.4
OG0004335	XP_016914353.3	XP_006620960.1	XP_086767137.1	XP_043799850.1	XP_026297267.1	XP_012163131.1
OG0004336	XP_016914358.2	XP_006624471.1	XP_086767189.1	XP_043800159.1	XP_026296998.1	XP_012167259.1
OG0004337	XP_061932778.1	XP_006620957.1	XP_003692434.1	XP_043800280.1	XP_395826.2	XP_003394800.1
OG0004338	XP_016914366.1	XP_006624448.1	XP_012340235.1	XP_043799842.1	XP_006570948.1	XP_012163142.1
OG0004339	XP_028523032.1	XP_006617945.1	XP_012344512.1	XP_043791538.1	XP_006558579.1	XP_003400228.1
OG0004340	XP_061932847.1	XP_031366867.1	XP_031771510.2	XP_043800017.1	XP_006571056.3	XP_012167231.3
OG0004341	XP_016914389.1	XP_031367972.1	XP_003698499.1	XP_043787032.1	XP_624232.2	XP_012174873.1
OG0004342	XP_016914392.2	XP_031366183.1	XP_012340832.2	XP_043784040.1	XP_016768624.2	XP_012165576.1
OG0004343	XP_016914397.1	XP_006611237.1	XP_003693150.1	XP_043783987.1	XP_026297553.1	XP_003396602.1
OG0004344	XP_086628163.1	XP_006616405.2	XP_086766496.1	XP_043795794.1	XP_006568442.1	XP_048263656.1
OG0004345	XP_016914410.1	XP_006619303.1	XP_031772999.2	XP_043801178.1	XP_006560283.2	XP_012171803.1
OG0004346	XP_028523205.2	XP_031367895.1	XP_003693105.3	XP_043795782.1	XP_026297410.1	XP_048263335.1
OG0004347	XP_061933118.1	XP_031367923.1	XP_003692925.1	XP_043795665.1	XP_006565505.2	XP_048263345.1
OG0004348	XP_016914418.1	XP_006611142.1	XP_003693153.1	XP_043804426.1	XP_623621.1	XP_003396668.2
OG0004349	XP_061933208.1	XP_006616410.1	XP_003697786.1	XP_043795758.1	XP_026297392.1	XP_012165708.1
OG0004350	XP_016914420.1	XP_006611143.1	XP_012341160.2	XP_043804422.1	NP_001314895.1	XP_003396707.1
OG0004351	XP_061933235.1	XP_006624974.1	XP_003692995.1	XP_043795779.1	XP_001122551.2	XP_003396681.1
OG0004352	XP_016914426.1	XP_006618706.1	XP_086766524.1	XP_043795790.1	XP_016768559.1	XP_012165677.1
OG0004353	XP_016914439.1	XP_006611202.1	XP_031771853.1	XP_043795981.1	XP_016768765.1	XP_003396978.1
OG0004354	XP_016914443.2	XP_006618743.1	XP_003692968.1	XP_043795845.1	XP_003250659.1	XP_003396641.1
OG0004355	XP_028523298.2	XP_031367898.1	XP_086766336.1	XP_043795674.1	XP_026297713.1	XP_048265455.1
OG0004356	XP_016914451.1	XP_006618670.1	XP_003693112.2	XP_043795855.1	XP_001123126.4	XP_003396415.2
OG0004357	XP_016914454.1	XP_006618665.1	XP_003692945.1	XP_043795851.1	XP_624166.2	XP_003396429.2
OG0004358	XP_016914455.1	XP_006618715.1	XP_003692967.1	XP_043795846.1	XP_006565559.1	XP_003396633.2
OG0004359	XP_016914457.1	XP_006616407.1	XP_012341063.1	XP_043795795.1	XP_006568426.2	XP_012165704.2
OG0004360	XP_016914458.1	XP_006611152.1	XP_031771901.1	XP_043783997.1	XP_001121924.1	XP_012165517.1
OG0004361	XP_016914460.2	XP_006619016.1	XP_012340850.2	XP_043795876.1	XP_003250581.2	XP_003396908.2
OG0004362	XP_016914464.1	XP_031370627.1	XP_012340931.1	XP_043795859.1	XP_016768758.1	XP_012165749.1
OG0004363	XP_061933280.1	XP_006611186.1	XP_086766351.1	XP_043795860.1	XP_392443.4	XP_048263127.1
OG0004364	XP_016914471.1	XP_006611182.1	XP_086766364.1	XP_043795837.1	XP_395011.2	XP_012166134.1
OG0004365	XP_016914472.1	XP_006611180.1	XP_012341145.1	XP_043795838.1	XP_003251217.1	XP_003396973.1
OG0004366	XP_016914476.1	XP_031367805.1	XP_012340860.3	XP_043795889.1	XP_006565539.2	XP_003396344.1
OG0004367	XP_016914486.1	XP_031367801.1	XP_086766176.1	XP_043795704.1	XP_026297766.1	XP_048263252.1
OG0004368	XP_016914487.1	XP_006618674.1	XP_003692949.3	XP_043795703.1	XP_624094.3	XP_012165081.2
OG0004369	XP_016914490.2	XP_006619011.1	XP_086766153.1	XP_043795935.1	XP_026297671.1	XP_020719231.2
OG0004370	XP_016914536.1	XP_006610119.1	XP_086761975.1	XP_043789814.1	XP_001120774.1	XP_020720060.1
OG0004371	XP_016914508.1	XP_006618689.1	XP_003692956.1	XP_043795832.1	XP_396259.1	XP_003396622.1
OG0004372	XP_016914510.2	XP_031366177.1	XP_086766055.1	XP_043783988.1	XP_006569489.2	XP_003396583.2
OG0004373	XP_016914514.1	XP_006615407.1	XP_086766035.1	XP_043783999.1	XP_026297589.1	XP_048263713.1
OG0004374	XP_016914516.1	XP_006615405.1	XP_086766041.1	XP_043784004.1	XP_624553.4	XP_012165588.2
OG0004375	XP_016914517.1	XP_006615402.1	XP_012340819.2	XP_043784005.1	XP_006569478.2	XP_012165584.2
OG0004376	XP_016914518.1	XP_006615404.1	XP_003693165.2	XP_043784006.1	XP_624532.3	XP_012165586.1
OG0004377	XP_016914520.1	XP_006615390.1	XP_003693071.1	XP_043784007.1	XP_006569470.2	XP_003396571.1
OG0004378	XP_061933226.1	XP_006616369.1	XP_003692986.2	XP_043795808.1	XP_395005.5	XP_003396669.2
OG0004379	XP_016914534.2	XP_031367309.1	XP_031771764.2	XP_043804423.1	XP_026297546.1	XP_012165527.2
OG0004380	XP_016914540.1	XP_006617758.1	XP_012340908.1	XP_043804405.1	XP_026297547.1	XP_003396781.1
OG0004381	XP_016914543.2	XP_006617751.1	XP_003693156.1	XP_043784063.1	XP_001122142.3	XP_048263686.1
OG0004382	XP_016914546.1	XP_006615414.1	XP_012340821.1	XP_043784036.1	XP_006569466.2	XP_020719571.1
OG0004383	XP_061933378.1	XP_031366191.1	XP_086766013.1	XP_043784026.1	XP_006569451.2	XP_012165888.1
OG0004384	XP_016914574.1	XP_006616392.1	XP_012341041.2	XP_043795912.1	XP_006568403.1	XP_003396864.1
OG0004385	XP_016914577.2	XP_006616383.1	XP_003692979.1	XP_043795746.1	XP_006568407.1	XP_003396666.1
OG0004386	XP_016914583.1	XP_006616400.1	XP_003692983.1	XP_043795750.1	XP_003251214.1	XP_003396665.1
OG0004387	XP_061933306.1	XP_006611161.1	XP_003693031.3	XP_043795684.1	XP_026297566.1	XP_048263621.1
OG0004388	XP_016914590.1	XP_006611160.1	XP_003693029.1	XP_043795687.1	XP_003251385.1	XP_003396963.1
OG0004389	XP_016914593.1	XP_006618995.1	XP_012340897.2	XP_043795821.1	XP_006565156.2	XP_003396893.1
OG0004390	XP_016914597.1	XP_006615418.1	XP_003693061.1	XP_043804407.1	XP_392431.2	XP_003396554.1
OG0004391	XP_016914599.1	XP_006615420.1	XP_003693062.1	XP_043804414.1	XP_006569469.1	XP_003396560.2
OG0004392	XP_016914608.1	XP_006611227.1	XP_003693701.3	XP_043795826.1	XP_016768770.2	XP_003396998.1
OG0004393	XP_016914610.2	XP_031367312.1	XP_012340900.2	XP_043784015.1	XP_006569501.2	XP_003396821.3
OG0004394	XP_016914616.1	XP_006611217.1	XP_003693009.3	XP_043795971.1	XP_396807.4	XP_012166146.1
OG0004395	XP_061933267.1	XP_006611210.1	XP_003693139.2	XP_043795975.1	XP_016768696.2	XP_048263511.1
OG0004396	XP_016914622.1	XP_006611218.1	XP_003693013.1	XP_043795977.1	XP_003251225.1	XP_003396988.1
OG0004397	XP_016914625.1	XP_031367776.1	XP_012341054.1	XP_043795991.1	XP_016768590.1	XP_003396643.1
OG0004398	XP_016914632.1	XP_006616396.1	XP_003692980.1	XP_043795897.1	XP_623341.1	XP_003396662.1
OG0004399	XP_016914639.2	XP_031370630.1	XP_086766407.1	XP_043795696.1	XP_006568378.2	XP_012165743.2
OG0004400	XP_016914642.1	XP_006624977.1	XP_086766417.1	XP_043795692.1	XP_624385.4	XP_003396679.1
OG0004401	XP_016914643.1	XP_006624978.1	XP_012340933.1	XP_043795715.1	XP_624432.1	XP_003396673.1
OG0004402	XP_061933332.1	XP_031367315.1	XP_031771892.1	XP_043784019.1	XP_026297625.1	XP_003396866.1
OG0004403	XP_016914658.1	XP_006624973.1	XP_003692997.1	XP_043795853.1	XP_393143.2	XP_012165754.1
OG0004404	XP_016914664.1	XP_006618703.1	XP_012340955.1	XP_043795650.1	XP_003250662.1	XP_003396632.1
OG0004405	XP_016914666.1	XP_031366617.1	XP_003692974.1	XP_043795766.1	XP_006568419.2	XP_003396654.2
OG0004406	XP_061933297.1	XP_006611170.1	XP_012341074.1	XP_043795796.1	XP_006568341.1	XP_020719544.1
OG0004407	XP_028523213.1	XP_006616379.1	XP_003693133.2	XP_043795920.1	XP_026297728.1	XP_012166022.1
OG0004408	XP_016914682.1	XP_006615388.1	XP_012340806.3	XP_043804406.1	XP_392433.4	XP_012165589.1
OG0004409	XP_016914688.2	XP_006618978.1	XP_012340882.2	XP_043795664.1	XP_006565503.2	XP_003396888.2
OG0004410	XP_016914700.1	XP_006611200.1	XP_012341109.1	XP_043795980.1	XP_006568357.1	XP_012166138.1
OG0004411	XP_016914701.2	XP_006618734.1	XP_012341134.1	XP_043795858.1	XP_003250660.1	XP_003396646.1
OG0004412	XP_016914705.1	XP_006611145.2	XP_012340982.3	XP_043783995.1	XP_026297432.1	XP_003396621.2
OG0004413	XP_016914706.2	XP_006611165.1	XP_003693146.1	XP_043795828.1	XP_624430.3	XP_012166125.2
OG0004414	XP_016914712.1	XP_006618976.1	XP_003692939.1	XP_043795967.1	XP_394692.3	XP_020719202.2
OG0004415	XP_061933122.1	XP_006618974.1	XP_086766111.1	XP_043795968.1	XP_395948.5	XP_003396881.1
OG0004416	XP_016914721.1	XP_006618981.1	XP_003692927.3	XP_043795958.1	XP_026297455.1	XP_003396890.1
OG0004417	XP_061933174.1	XP_031367782.1	XP_003692970.1	XP_043795744.1	XP_026297394.1	XP_003396647.2
OG0004418	XP_061933134.1	XP_031367902.1	XP_086766196.1	XP_043795681.1	XP_006565519.1	XP_020719399.1
OG0004419	XP_061933243.1	XP_031370621.1	XP_086766396.1	XP_043795839.1	XP_026297764.1	XP_048263831.1
OG0004420	XP_028523258.1	XP_006619007.1	XP_003692923.1	XP_043795763.1	XP_026297681.1	XP_012166060.1
OG0004421	XP_016914760.1	XP_006618725.1	XP_031771810.2	XP_043795720.1	XP_001122715.3	XP_012165686.1
OG0004422	XP_016914761.3	XP_006618719.1	XP_003692966.2	XP_043795721.1	XP_026297513.1	XP_003396638.2
OG0004423	XP_016914767.1	XP_006611155.1	XP_003693033.1	XP_043784057.1	XP_396270.5	XP_048263675.1
OG0004424	XP_016914772.1	XP_006611146.1	XP_031771899.1	XP_043784070.1	XP_026297491.1	XP_003396657.1
OG0004425	XP_016914774.1	XP_006618726.1	XP_031771904.1	XP_043795995.1	XP_392452.2	XP_020719583.1
OG0004426	XP_028523260.1	XP_006618666.1	XP_086766186.1	XP_043795801.1	XP_006565528.1	XP_012165103.2
OG0004427	XP_016914836.1	XP_006607839.1	XP_003690325.1	XP_043789981.1	XP_006561797.1	XP_020720290.1
OG0004428	XP_061937756.1	XP_006620914.1	XP_086773083.1	XP_043786527.1	XP_006566323.1	XP_003399243.2
OG0004429	XP_061933157.1	XP_006618700.1	XP_086766516.1	XP_043795723.1	XP_006565554.1	XP_020719506.2
OG0004430	XP_016914808.1	XP_006624967.1	XP_012341050.1	XP_043795836.1	XP_396208.4	XP_003396687.1
OG0004431	XP_028523288.1	XP_006611174.1	XP_012341085.1	XP_043795775.1	XP_006568346.2	XP_012166130.2
OG0004432	XP_016914814.2	XP_006615433.1	XP_003693072.3	XP_043804411.1	XP_001121053.2	XP_003396525.1
OG0004433	XP_016914827.2	XP_031364218.1	XP_012341187.2	XP_043784058.1	XP_392686.2	XP_003396734.1
OG0004434	XP_016914830.2	XP_006611206.1	XP_031771856.2	XP_043795978.1	XP_003251223.2	XP_020719316.1
OG0004435	XP_061936205.1	XP_006622607.1	XP_086772325.1	XP_043787189.1	XP_006566106.1	XP_012168235.1
OG0004436	XP_061936176.1	XP_031369583.1	XP_086772348.1	XP_043787162.1	XP_026299013.1	XP_012168226.2
OG0004437	XP_061936123.1	XP_031368008.1	XP_086773243.1	XP_043787156.1	XP_026299155.1	XP_003398287.1
OG0004438	XP_016914844.1	XP_006622610.1	XP_086772330.1	XP_043787235.1	XP_016769757.1	XP_003398136.2
OG0004439	XP_016914846.3	XP_031369601.1	XP_031774837.1	XP_043787154.1	XP_026299116.1	XP_048265168.1
OG0004440	XP_016914848.1	XP_006619125.1	XP_003698512.3	XP_043787060.1	XP_001119908.1	XP_003398275.1
OG0004441	XP_016914849.2	XP_031369031.1	XP_012346998.3	XP_043787180.1	XP_006566093.1	XP_012168218.2
OG0004442	XP_016914851.2	XP_006621297.1	XP_003697335.3	XP_043787233.1	XP_624525.3	XP_003398486.1
OG0004443	XP_016914856.1	XP_006621293.1	XP_003697334.1	XP_043787236.1	XP_624424.1	XP_003398492.1
OG0004444	XP_061937820.1	XP_031366040.1	XP_003692266.2	XP_043798733.1	NP_001265635.1	XP_012169077.1
OG0004445	XP_016914874.1	XP_006621142.2	XP_003698537.1	XP_043787073.1	XP_001120809.2	XP_003398297.1
OG0004446	XP_061936200.1	XP_006622618.1	XP_003697325.1	XP_043787187.1	XP_393688.2	XP_003400656.1
OG0004447	XP_061936215.1	XP_031369603.1	XP_031774821.2	XP_043787181.1	XP_026299020.1	XP_012168229.2
OG0004448	XP_016914898.1	XP_006620713.1	XP_012347042.1	XP_043786790.1	XP_001120972.2	XP_003398303.1
OG0004449	XP_061936113.1	XP_006619206.1	XP_086773252.1	XP_043786942.1	XP_016769973.2	XP_020720487.1
OG0004450	XP_016914908.1	XP_006621309.1	XP_012347037.1	XP_043787223.1	XP_006566068.1	XP_012168011.1
OG0004451	XP_016914911.1	XP_006622611.1	XP_012346991.2	XP_043787161.1	XP_006566104.2	XP_012168233.2
OG0004452	XP_016914914.1	XP_006619114.1	XP_012348879.3	XP_043786840.1	XP_026299261.1	XP_012167974.1
OG0004453	XP_016914926.1	XP_006622630.1	XP_086772349.1	XP_043787197.1	XP_016769761.1	XP_020720635.1
OG0004454	XP_016914935.1	XP_006619108.1	XP_003698519.1	XP_043787107.1	XP_026298966.1	XP_020720750.2
OG0004455	XP_016914941.2	XP_006619111.1	XP_012348888.1	XP_043787111.1	XP_016769913.1	XP_003398284.1
OG0004456	XP_016914943.1	XP_031370750.1	XP_031775679.1	XP_043787120.1	XP_003250831.1	XP_003398285.2
